"AnimalID","feedlot","cohort","set13","brd50","inductionweight","mix_final","BVDV_PI_origin_FINAL","age_ind_est_m","PV_pre2_final","BVDV1","BVDV_binary","mix_final_v1","BVDV_PI_origin_FINAL_v1","age","weight"
"982 000060992464","10","PC15","PC153EGON009",1,491,"no no 10+","TI but no PI in cohort",19,"1","0",0,"no no","TI but no PI in cohort",0.19,0.491
"982 000061087686","4","CR09","CR09NF502677",0,403,"yes no 4-9","TI but no PI in cohort",17,"1","5",1,"yes no","TI but no PI in cohort",0.17,0.403
"982 000061090125","10","PC15","PC153EGON009",1,465,"no no 10+","TI but no PI in cohort",19,"1","1",1,"no no","TI but no PI in cohort",0.19,0.465
"982 000061100590","7","JL06","JL06NH460052",0,460,"yes no 2-3","PI animal in cohort",21,"0","4",1,"yes no","PI animal in cohort",0.21,0.46
"982 000061100630","7","JL06","JL06NH460052",0,394,"yes no 2-3","PI animal in cohort",21,"0","4",1,"yes no","PI animal in cohort",0.21,0.394
"982 000061100656","7","JL06","JL06NH460052",1,398,"yes no 2-3","PI animal in cohort",21,"0","4",1,"yes no","PI animal in cohort",0.21,0.398
"982 000061101050","7","JL06","JL06NH460052",0,374,"yes no 2-3","PI animal in cohort",21,"0","4",1,"yes no","PI animal in cohort",0.21,0.374
"982 000061106001","7","JL06","JL06NH460052",0,386,"yes no 2-3","PI animal in cohort",21,"0","4",1,"yes no","PI animal in cohort",0.21,0.386
"982 000061227379","10","PC11","PC113ALBT124",1,398,"yes no 4-9","PI animal in cohort",16,"0","4",1,"yes no","PI animal in cohort",0.16,0.398
"982 000061231597","10","PC11","PC113ALBT124",1,420,"yes no 4-9","PI animal in cohort",16,"0","2",1,"yes no","PI animal in cohort",0.16,0.42
"982 000061231719","10","PC11","PC113ALBT124",1,432,"yes no 4-9","PI animal in cohort",16,"0","0",0,"yes no","PI animal in cohort",0.16,0.432
"982 000061534937","10","PC03","PC033WLAA054",1,380,"no no 10+","PI animal in cohort",16,"0","2",1,"no no","PI animal in cohort",0.16,0.38
"982 000061553061","8","KW04","KW04QHWM0435",0,360,"yes no no","no BVDV in cohort",13,"0","4",1,"yes no","no BVDV in cohort",0.13,0.36
"982 000061676710","7","JL06","JL06NH460052",1,418,"yes no 2-3","PI animal in cohort",21,"0","4",1,"yes no","PI animal in cohort",0.21,0.418
"982 000061687547","8","KW04","KW04QHWM0435",0,352,"yes no no","no BVDV in cohort",13,"0","4",1,"yes no","no BVDV in cohort",0.13,0.352
"982 000062890794","10","PC11","PC113ALBT124",1,432,"yes no 4-9","PI animal in cohort",16,"0","5",1,"yes no","PI animal in cohort",0.16,0.432
"982 000078637959","2","BC02","BC02NF282854",1,464,"yes no 10+","PI animal in cohort",28,"0","3",1,"yes no","PI animal in cohort",0.28,0.464
"982 000078637978","2","BC02","BC02NF282854",0,466,"yes no 10+","PI animal in cohort",28,"0","3",1,"yes no","PI animal in cohort",0.28,0.466
